date,platform,sum
2014-10-29,android-app,1802952.00000
2015-03-22,ios-app,3013898.00000
2015-07-25,ios-app,2984733.00000
2015-06-09,android-app,2226085.00000
2015-02-19,android-app,2484117.00000
2014-10-14,android-app,1726583.00000
2014-11-18,android-app,2098803.00000
2014-09-23,android-app,1550544.00000
2015-06-06,ios-app,3093373.00000
2015-05-30,android-app,2230013.00000
2015-08-20,ios-app,3078199.00000
2014-09-16,ios-app,2439330.00000
2015-03-07,ios-app,2952226.00000
2015-08-25,ios-app,3105639.00000
2014-06-05,ios-app,2314384.00000
2015-09-02,android-app,2146245.00000
2015-03-25,ios-app,3039770.00000
2015-01-20,ios-app,3564477.00000
2015-06-13,android-app,2229398.00000
2015-02-17,android-app,2502931.00000
2014-09-28,android-app,1605633.00000
2015-08-18,ios-app,3054981.00000
2014-10-10,android-app,1675977.00000
2014-11-07,android-app,1868251.00000
2015-08-30,ios-app,3181662.00000
2015-09-28,ios-app,3248492.00000
2015-01-02,android-app,3130949.00000
2015-07-14,android-app,2134451.00000
2015-06-16,ios-app,3020759.00000
2014-11-16,ios-app,2641634.00000
2014-11-09,android-app,1866697.00000
2015-02-06,ios-app,3036752.00000
2015-03-21,android-app,2396558.00000
2014-08-12,ios-app,2440528.00000
2015-02-05,android-app,2576341.00000
2015-01-28,ios-app,3252758.00000
2014-07-15,android-app,1419549.00000
2015-01-25,android-app,2763284.00000
2014-12-21,ios-app,4012381.00000
2014-08-19,android-app,1454610.00000
2014-08-10,ios-app,2452849.00000
2014-09-15,android-app,1496888.00000
2015-06-13,ios-app,3040532.00000
2014-12-11,android-app,2834757.00000
2014-07-21,android-app,1406219.00000
2015-03-19,android-app,2398713.00000
2014-06-19,ios-app,2341284.00000
2015-01-08,android-app,3129736.00000
2014-10-22,android-app,1773873.00000
2015-09-14,ios-app,3146664.00000
2014-08-09,ios-app,2443463.00000
2015-07-30,ios-app,2995082.00000
2014-11-03,android-app,1833919.00000
2014-09-30,ios-app,2500966.00000
2015-04-25,ios-app,3112402.00000
2014-06-11,ios-app,2314942.00000
2014-07-05,ios-app,2422329.00000
2015-05-01,ios-app,3039242.00000
2014-09-20,ios-app,2440764.00000
2015-03-10,android-app,2416145.00000
2015-10-02,android-app,2126441.00000
2015-02-12,android-app,2537691.00000
2014-12-24,ios-app,4112529.00000
2015-01-03,android-app,3149499.00000
2015-06-20,ios-app,3019502.00000
2014-11-14,ios-app,2572704.00000
2015-06-28,android-app,2175960.00000
2015-06-01,ios-app,3167216.00000
2015-09-28,android-app,2124414.00000
2015-08-04,android-app,2058955.00000
2015-03-01,ios-app,2934564.00000
2014-08-10,android-app,1476206.00000
2014-09-11,android-app,1490310.00000
2014-09-03,android-app,1489329.00000
2014-06-08,ios-app,2305651.00000
2015-01-29,android-app,2690374.00000
2014-11-05,android-app,1847014.00000
2015-05-13,android-app,2280637.00000
2015-06-28,ios-app,2966808.00000
2015-03-26,android-app,2399483.00000
2014-07-17,ios-app,2455277.00000
2014-10-28,ios-app,2395129.00000
2015-08-16,ios-app,3050636.00000
2014-08-27,ios-app,2466119.00000
2015-08-09,android-app,2033176.00000
2015-02-27,android-app,2440465.00000
2014-09-26,android-app,1566661.00000
2014-07-22,ios-app,2444516.00000
2015-05-28,ios-app,3174311.00000
2014-11-06,ios-app,2444307.00000
2015-05-04,ios-app,3028249.00000
2015-02-14,android-app,2541282.00000
2015-05-25,ios-app,3155422.00000
2014-12-03,android-app,2622733.00000
2014-10-12,android-app,1709689.00000
2015-02-17,ios-app,2936449.00000
2015-07-18,ios-app,2965377.00000
2015-09-09,ios-app,3180099.00000
2015-04-22,ios-app,3173381.00000
2015-10-03,ios-app,3300276.00000
2015-04-15,android-app,2351001.00000
2015-08-14,ios-app,3026028.00000
2015-02-13,android-app,2538491.00000
2014-11-11,android-app,1894317.00000
2015-07-02,android-app,2159124.00000
2014-07-02,ios-app,2414092.00000
2015-01-01,android-app,3125266.00000
2015-04-02,ios-app,3161916.00000
2015-01-26,ios-app,3342809.00000
2014-12-01,android-app,2540781.00000
2015-08-21,android-app,2081865.00000
2014-11-12,android-app,1905028.00000
2014-08-24,android-app,1456078.00000
2014-10-27,ios-app,2406300.00000
2015-06-08,android-app,2228464.00000
2015-07-23,android-app,2112477.00000
2015-09-17,ios-app,3127074.00000
2015-10-04,ios-app,3311087.00000
2014-10-12,ios-app,2482798.00000
2015-02-14,ios-app,2982400.00000
2014-06-16,ios-app,2325199.00000
2014-12-18,android-app,2988752.00000
2014-10-06,ios-app,2483629.00000
2014-07-10,android-app,1392869.00000
2014-10-17,ios-app,2498049.00000
2014-12-12,ios-app,3678995.00000
2015-04-13,android-app,2350430.00000
2014-06-02,android-app,1320748.00000
2014-09-08,ios-app,2498324.00000
2015-01-13,ios-app,3807909.00000
2015-01-10,ios-app,3909666.00000
2015-09-18,android-app,2147208.00000
2015-01-18,ios-app,3641330.00000
2015-02-24,android-app,2424077.00000
2014-08-29,ios-app,2457256.00000
2015-05-21,android-app,2250431.00000
2014-07-28,ios-app,2443936.00000
2014-12-01,ios-app,3368118.00000
